title,media,date,datetime,desc,link,img
"PM Modi Invites Students, Young Professionals For G-20 University Connect Finale Tomorrow",News18,1 hour ago,2023-09-25 13:26:55.237303,,https://www.news18.com/education-career/pm-modi-invites-students-young-professionals-for-g-20-university-connect-finale-tomorrow-8589865.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"PM Modi invites students, young professionals to ‘G20 University Connect Finale’ event on September 26 | Mint",Mint,1 hour ago,2023-09-25 13:26:55.247519,,https://www.livemint.com/news/india/pm-modi-invites-students-young-professionals-to-g20-university-connect-finale-event-on-september-26-11695618965081.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Dear Pakistani (Un)Educated Media, G20 Meeting In Bharat",PGurus,2 hours ago,2023-09-25 12:26:55.256051,,https://www.pgurus.com/my-new-letter-series-dear-pakistani-uneducated-media-g20-meeting-in-bharat/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
PM Modi invites youth to participate in G20 University Connect Finale; Register here,Republic World,2 hours ago,2023-09-25 12:26:55.263948,,https://www.republicworld.com/education/news/pm-modi-invites-youth-to-participate-in-g20-university-connect-finale-register-here-articleshow.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"G20 News : Global South देशों ने G20 के लिए की भारत की तारीफ, S Jaishankar ने Video किया पोस्ट",YouTube,2 hours ago,2023-09-25 12:26:55.271062,,https://www.youtube.com/watch%3Fv%3DcaqEvv5IZF8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Govt directs depts to implement vision outlined during G20, submit action plan",The Times of India,2 hours ago,2023-09-25 12:26:55.275597,,https://m.timesofindia.com/city/delhi/govt-directs-depts-to-implement-vision-outlined-during-g20-submit-action-plan/articleshow/103913468.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
India’s G20 Presidencywas challenging: EAM,The Hitavada,3 hours ago,2023-09-25 11:26:55.281194,,https://www.thehitavada.com/Encyc/2023/9/25/India-s-G20-Presidencywas-challenging-EAM.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
PM Modi to engage with academic leaders at G20 University Connect,Zee Business,3 hours ago,2023-09-25 11:26:55.291321,,https://www.zeebiz.com/india/news-pm-modi-to-engage-with-academic-leaders-at-g20-university-connect-255923,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
G-20 University Connect Finale to take place at Bharat Mandapam,News On AIR,4 hours ago,2023-09-25 10:26:55.297921,,https://newsonair.gov.in/Main-News-Details.aspx%3Fid%3D468319,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
PM Modi Invites Students and Young Professionals For G20 University Connect Finale Tomorrow,Times Now,5 hours ago,2023-09-25 09:26:55.306031,,https://www.timesnownews.com/education/pm-modi-invites-students-and-young-professionals-for-g20-university-connect-finale-tomorrow-article-103919135,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
