title,media,date,datetime,desc,link,img
"Finance Minister Nirmala Sitharaman to embark on 6-day visit to Morocco to attend World Bank-IMF meet, G20...",Zee Business,6 mins ago,2023-10-09 22:25:54.676597,,https://www.zeebiz.com/economy-infra/news-finance-minister-nirmala-sitharaman-to-embark-on-6-day-visit-to-morocco-to-attend-world-bank-imf-meet-g20-fmbcbg-258474&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQICBAC&usg=AOvVaw3DfZft8SdcrMsUW7DTE9mx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"FM to attend World Bank-IMF meet, G20 FMBCBG in Morocco from Oct 11",Business Standard,1 hour ago,2023-10-09 21:31:57.871235,,https://www.business-standard.com/economy/news/fm-to-attend-world-bank-imf-meet-g20-fmbcbg-in-morocco-from-oct-11-123100901074_1.html&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQICRAC&usg=AOvVaw1_otmh8LX8DxKbjgWnpTpw,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Niramala Sitharaman to attend World Bank-IMF, G20 meetings in Morocco",Daijiworld,1 hour ago,2023-10-09 21:31:57.880246,,https://www.daijiworld.com/news/newsDisplay%3FnewsID%3D1128771&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIBRAC&usg=AOvVaw1VzRXMdhKvDCC1tf-0C6MN,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Sitharaman to leave for Morocco to attend G20 Finance Ministers meeting,The Statesman,4 hours ago,2023-10-09 18:31:57.888806,,https://www.thestatesman.com/india/sitharaman-to-leave-for-morocco-to-attend-g20-finance-ministers-meeting-1503229819.html&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIBhAC&usg=AOvVaw08z4BjfWFn3pCZN-HhxlGB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ageing & development under G20: Towards an age friendly India,Express Healthcare,6 hours ago,2023-10-09 16:31:57.895947,,https://www.expresshealthcare.in/news/ageing-development-under-g20-towards-an-age-friendly-india/440912/&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIAxAC&usg=AOvVaw0EUMdmSzmZD0DUyZygzBE0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
EAM Dr. S Jaishankar says G20 Presidency has demonstrated that Indian diplomacy can make a real difference,News On AIR,0 hours ago,2023-10-09 22:31:57.898593,,https://newsonair.gov.in/Main-News-Details.aspx%3Fid%3D469126&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIBBAC&usg=AOvVaw0GmiTA80B0uGuorQ3oJeTf,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Mock G20 Summit: Pupils replicate foreign delegates,The New Indian Express,3 hours ago,2023-10-09 19:31:57.900303,,https://www.newindianexpress.com/states/andhra-pradesh/2023/oct/09/mock-g20-summit-pupils-replicate-foreign-delegates-2622175.html&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIABAC&usg=AOvVaw3PDQsSZbho07AZtinOwnZQ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
G20 FMCBG meeting at Marrakesh: All eyes on MDB reform road map,Business Standard,2 hours ago,2023-10-09 20:31:57.901313,,https://www.business-standard.com/economy/news/g20-fmcbg-meeting-at-marrakesh-all-eyes-on-mdb-reform-road-map-123100801027_1.html&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIARAC&usg=AOvVaw19LHb0VXshqusVAf3deLh-,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Escalation of Israel-Hamas war could hit corridor plans | Mint,Mint,2 hours ago,2023-10-09 20:31:57.902313,,https://www.livemint.com/news/india/escalation-of-israel-hamas-war-could-hit-corridor-plans-11696788922913.html&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIBxAC&usg=AOvVaw0zzsuBxwPyg1vXIMal1LCp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"9th G20 Parliamentary Speakers' Summit In New Delhi: Inauguration, Participants, And Goals | #G20",YouTube,1 day ago,2023-10-08 22:31:57.908311,,https://www.youtube.com/watch%3Fv%3DbQe89DSOYLc&ved=2ahUKEwiM3oXhuOmBAxXKamwGHVCzDRcQxfQBegQIAhAC&usg=AOvVaw3Cm5T-fsnhzOurdIOWGmcf,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
